title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
The Stranded,Netflix,US,TV-MA,2019-11-15,1,To Be Determined,6.3,880,"Papangkorn Lerkchaleampote, Chayanit Chansangavej, Chutavuth Pattarakampol, Kittisak Patomburana, Sinjai Plengpanich, Oabnithi Wiwattanawarang, Ticha Wongthipkanont, Chaleeda Gilbert, Chanya McClory","Trapped on an island destroyed by a tsunami, the students of an elite school try to hold on to hope. But mysterious forces seem to work against them.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Brown Nation,Netflix,US,TV-14,2016-11-15,1,Ended,6.9,561,"Rajeev Varma, Shenaz Treasury, Kapil Bawa, Remy Munasifi, Omi Vaidya, Melanie Chandra, Sana Serrai, Jonathan Horvath, Akaash Singh",An Indian American man living with his artistic wife and contentious father-in-law struggles to handle his household and a foundering IT company.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrior,Cinemax,US,TV-MA,2019-04-05,1,Running,8.2,12131,"Dar Salim, Danica Curcic, Lars Ranthe, Marco Ilsø, Søren Malling, Jakob Oftebro",A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Put Your Head on My Shoulder,Tencent QQ,CN,TV-PG,2019-04-10,1,Ended,8.0,685,"Fair Xing, Lin Yi, Daddi Tang, Yi Sha, Zhou Zixin, Zheng Yingchen, Cai Gang, Liang Aiqi, Rong Rong, He Qiang","On the cusp of graduation, an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Helix,Syfy,US,TV-MA,2014-01-10,1,Ended,6.8,28091,"Billy Campbell, Hiroyuki Sanada, Kyra Zagorsky, Mark Ghanimé, Meegwun Fairbrother, Jordan Hayes, Neil Napier, Matt Long, Severn Thompson, Jeri Ryan, Catherine Lemieux","While investigating a possible outbreak at an Arctic research facility, scientists discover a new virus that could wipe out every human on the planet.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Ad Vitam,Arte,FR,TV-MA,2018-11-08,1,Ended,6.5,1156,"Yvan Attal, Garance Marillier, Niels Schneider, Victor Assié, Rod Paradot, Anne Azoulay, Adel Bencherif","In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hache,Netflix,US,TV-MA,2019-11-01,1,Running,6.4,834,"Adriana Ugarte, Javier Rey, Eduardo Noriega, Marc Martínez, Ingrid Rubio, Pep Ambròs, Núria Prims, Roger Casamajor","As Helena gains the love and trust of a dangerous heroin cartel leader in 1960s Barcelona, she hones the skills she needs to rise up the ranks.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Shorty,Epix,US,TV-MA,2017-08-13,1,Ended,8.2,5421,"Ray Romano, Chris O'Dowd",Organized crime enforcer Miles Daly strives to reinvent himself as a Hollywood filmmaker in this satire based on Elmore Leonard's best-selling novel.,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Together,BBC Three,UK,TV-MA,2015-10-06,1,Ended,6.7,21,"Jeanette Aw, Dai Xiangyu, Elvin Ng, Eelyn Kok, Zheng Geping, Aileen Tan, Zhou Ying, Hong Hui Fang, Zhang Zhenhuan","Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
How to Sell Drugs Online (Fast),Netflix,UK,TV-MA,2019-05-31,1,Running,7.9,18606,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling","To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charmed,The CW,US,TV-PG,2018-10-14,1,Running,4.6,12814,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie","After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Historical Roasts,Netflix,US,TV-MA,2019-05-27,1,To Be Determined,5.3,1500,"Jeff Ross, Bob Saget, James Adomian, Rachel Feinstein, Jerry Minor, Ayden Mayeri, Jaleel White, Natasha Leggero, Yamaneika Saunders, John Stamos, Nikki Glaser, Seth Green, Fortune Feimster, Jon Lovitz, Mindy Rickles, Gilbert Gottfried, Sasheer Zamata, Brandon T. Jackson, Ryan Phillippe, Ken Marino, Bridget Everett, John Gemberling, Leonardo Nam, Josh Homme","""Roastmaster General"" Jeff Ross and a slew of guest stars poke fun at major historical figures while also honoring their enduring impact on the world.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mob Psycho 100,Netflix,JP,TV-MA,2018-01-12,1,Ended,8.5,13145,"Tatsuomi Hamada, Kazuki Namioka, Yuki Yoda, Ayumu Mochizuki, Atsushi Arai, Akio Otsuka, Moro Morooka","There's an organization gathering espers for a nefarious purpose. Powerful psychic Mob, however, is just trying to be the protagonist of his own life.",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Super Mario Bros. Super Show!,NBC,US,TV-Y7,1989-09-04,1,Ended,6.2,3099,"Captain Lou Albano, Danny Wells, Jeannie Elias, John Stocker, Harvey Atkin, Robert Bockstael, Cynthia Preston, Jonathan Potts, Colin Fox","Mixing live action and animation, this classic series brought the beloved Super Mario Bros. video game characters to television screens everywhere.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Revenge,ABC,US,TV-MA,2011-09-21,1,Ended,7.8,111340,"Lalita Panyopas, Saksit Tangtong, Tao Somchai Khemklad, Tack Parunyu Rojanawuttitum, Pongsatorn Jongwilas, Chaleumpol Tikumpornteerawong, Akarin Akaranitimaytharatt, Kanthi Pitithan, Plerng Pollapakk Vacharaponghiran, Kritteera Inpornwijit","After a mother and her daughter are gang-raped by seven men, the daughter suffers a mental breakdown, and the single mom sets out to get revenge.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,Netflix,US,TV-MA,2019-05-17,1,Ended,7.3,514,Unknown,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
It's Bruno!,Netflix,US,TV-MA,2019-05-17,1,To Be Determined,7.5,2400,"Solvan ""Slick"" Naim, Rob Morgan, Shakira Barrera, Jade Eshete, Adriane Lenox, Donnell Rawlings, Eden Marryshow, Sam Eliad, Devale Ellis, J. Ray Acosta","An old-school Brooklyn native devotes his days to caring for his adorable dog, Bruno – and making sure the neighbors show his pooch the proper respect.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Revisions,Fuji TV,JP,TV-14,2019-01-09,1,Running,6.1,441,"Koki Uchiyama, Mikako Komatsu, Nobunaga Shimazaki, Rie Takahashi, Manaka Iwami, Soma Saito","When Shibuya time-warps to 2388, high schooler Daisuke and his friends are conscripted by AHRV agent Milo to fight the hostile cyborg race, revisions.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Jungle Book,Discovery Family,IN,TV-Y7,Oct/18/2010,1,Returning Series,4.3,100,"Emma Tate, Jimmy Hibbert, Sam Gold, David Holt, Joseph J. Terry","This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Evil Genius,HISTORY,US,TV-MA,2018-08-29,1,Running,7.8,491,Unknown,This baffling true crime story starts with the grisly death of a pizza man who robs a bank with a bomb around his neck – and gets weirder from there.,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
The Who Was? Show,Netflix,US,TV-Y7,2018-05-11,1,Running,6.5,499,"Haley Tju, Adam Hochstetter, Kirrilee Berger, Lilla Crawford, Bentley Green, Zach Timson, Andrew Daly, H. Jon Benjamin",Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pose,FX,US,TV-MA,2018-06-03,1,Running,8.6,17700,"Mj Rodriguez, Billy Porter, Evan Peters, Kate Mara, James Van Der Beek, Dominique Jackson, Angelica Ross, Hailie Sahar, Ryan Jamaal Swain, Indya Moore, Dyllon Burnside","In 1987 New York, LGBTQ ball fixture Blanca starts her own house, soon becoming mother to a gifted dancer and a sex worker in love with a yuppie client.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Society,Netflix,US,TV-MA,2019-05-10,1,Ended,7.1,17959,"Kathryn Newton, Gideon Adlon, Sean Berdy, Natasha Liu Bordizzo, Jacques Colimon, Olivia DeJonge, Alex Fitzalan, Kristine Froseth, José Julián, Alex MacNicoll, Toby Wallace, Rachel Keller","When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Roswell, New Mexico",The CW,US,TV-14,2019-01-15,1,Running,6.2,8610,"Jeanine Mason, Nathan Parsons, Michael Vlamis, Lily Cowles, Tyler Blackburn, Heather Hemmens, Michael Trevino, Trevor St. John","After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Champions,NBC,US,TV-14,2018-03-08,1,Ended,6.1,2987,"Anders Holm, Fortune Feimster, Andy Favreau, J.J. Totah, Mouzam Makkar, Yassir Lester, Robert Costanzo, Ginger Gonzaga, Mindy Kaling","Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formula 1: Drive to Survive,Netflix,US,TV-MA,2019-03-08,1,Running,8.6,17290,Unknown,"Drivers, managers and team owners live life in the fast lane – both on and off the track – during one cutthroat season of Formula 1 racing.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JoJo's Bizarre Adventure,Tokyo MX,JP,TV-MA,2012-10-05,1,Running,8.4,8434,"Kazuyuki Okitsu, Takehito Koyasu, Yoku Shioya, Yoji Ueda, Ayako Kawasumi, Tomokazu Sugita, Takuya Sato, Atsuko Tanaka, Atsushi Imaruoka, Daisuke Ono, Unsho Ishizuka, Kenta Miyake, Daisuke Hirakawa, Fuminori Komatsu, Yuki Ono, Yuki Kaji, Wataru Takagi, Takahiro Sakurai, Kensho Ono, Yuichi Nakamura, Junichi Suwabe, Kohsuke Toriumi, Daiki Yamashita, Junya Enoki",Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Shadow,Netflix,US,TV-MA,2019-03-08,1,To Be Determined,6.6,776,"Pallance Dladla, Khathu Ramabulana, Amanda du-Pont, Tumie Ngumla","Haunted by a tragic loss, an ex-cop with a rare inability to feel pain strikes out on his own to catch offenders who've eluded Johannesburg police.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Order,Netflix,US,TV-MA,2019-03-07,1,To Be Determined,6.8,18787,"Jake Manley, Sarah Grey, Max Martini, Matt Frewer, Adam DiMarco, Katharine Isabelle, Louriza Tronco, Aaron Hale, Devery Jacobs, Thomas Elms, Dylan Playfair, Ian Tracey, Sam Trammell","Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Trailer Park Boys: The Animated Series,Netflix,US,TV-MA,2019-03-31,1,To Be Determined,7.5,2108,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Cory Bowles, Jacob Rolfe, Tyrone Parsons, Sarah Dunsworth, Jeanna Harrison, Marguerite McNeil","Nova Scotia’s favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Taylor,Virgin Media One,IE,TV-MA,2010-08-02,1,Ended,7.5,1615,"Iain Glen, Killian Scott, Nora-Jane Noone, Tara Breathnach, Frank O'Sullivan",Ken Bruen's bestselling crime novels leap to life in this series of TV movies featuring Irish cop-turned-private-investigator Jack Taylor.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Osmosis,Netflix,US,TV-MA,2019-03-29,1,Ended,5.9,2425,"Agathe Bonitzer, Hugo Becker, Gaël Kamilindi, Manoël Dupont, Stéphane Pitti, Luna Silva, Yuming Hey, Suzanne Rault-Balet, Philypa Phoenix, Lena Lapres, Waly Dia, Aurélia Petit, Lionel Lingelser, Fabien Ducommun","In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Traitors,Channel 4,GB,TV-MA,2019-02-17,1,Ended,6.6,2188,"Emma Appleton, Michael Stuhlbarg, Luke Treadaway, Keeley Hawes, Brandon P. Bell, Matt Lauria, Jamie Blackley, David Hargreaves, Sam Hoare, Simon Kunz, Greg McHugh, Stephen Campbell Moore, Cara Horgan","As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
All American,The CW,US,TV-14,2018-10-10,1,Running,7.7,5358,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Drugs, Inc.",National Geographic Channel,US,TV-MA,2010-07-11,1,To Be Determined,7.8,1254,Mike Secher,"This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Selling Sunset,Netflix,US,TV-MA,2019-03-22,1,To Be Determined,6.2,2940,Unknown,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Guild,YouTube,US,TV-14,Jul/27/2007,1,Ended,8.2,9570,"Felicia Day, Sandeep Parikh, Jeff Lewis, Robin Thorsen, Amy Okuda, Vincent Caso",Fantasy and reality collide when a surprisingly diverse group of online video-game addicts struggle to balance the game with personal relationships.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B: The Beginning,Netflix,US,TV-MA,2018-03-02,1,To Be Determined,7.2,3422,"Hiroaki Hirata, Yuki Kaji, Asami Seto, Hiroki Touchi, Minoru Inaba, Ami Koshimizu, Toshiyuki Toyonaga, Shintaro Tanaka, Atsushi Goto, Toshiyuki Morikawa, Kaito Ishikawa, Satomi Sato, Yu Kitada, Mitsuki Saiga, Kazuya Nakai, Nozomi Kameda, Makoto Awane","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Flint Town,Netflix,US,TV-MA,2018-03-02,1,Ended,7.9,3099,Unknown,"Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Edha,Netflix,US,TV-MA,2018-03-16,1,Ended,4.8,563,"Juana Viale, Andrés Velencoso, Delfina Chaves, Osmar Nuñez, Germán Palacios, Juan Pablo Geretto, Sofía Gala, Daniel Pacheco, Daniel Hendler, Flavio Mendoza","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turn Up Charlie,Netflix,US,TV-MA,2019-03-15,1,Ended,7.1,6252,"Idris Elba, Piper Perabo, JJ Feild, Frankie Hervey, Guz Khan",A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mystery Science Theater 3000,Netflix,US,TV-14,2017-04-14,1,Ended,8.5,22802,"Joel Hodgson, Michael J. Nelson, Kevin Murphy, Trace Beaulieu, Jim Mallon, Frank Conniff, Mary Jo Pehl, Bill Corbett, Patrick Brantseg, J. Elvis Weinstein",Hosts Joel and Mike and their robot companions offer hilarious running commentary on B movies they're forced to watch in these classic MST3K episodes.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tabula Rasa,één,BE,TV-MA,2017-10-29,1,Ended,8.1,7675,"Veerle Baetens, Stijn Van Opstal, Jeroen Perceval, Hilde Van Mieghem, Gene Bervoets, Peter Van den Begin, Natali Broods","When a young woman with amnesia becomes a key figure in a missing persons case, she must reconstruct her memories to clear her name.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Doomsday Preppers,National Geographic Channel,US,TV-14,Jun/27/2011,1,Returning Series,6.1,893,Michael Izquierdo,This series highlights a diverse group of survivalists as they prepare for various catastrophic scenarios that could cause civilization to collapse.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Losers,Netflix,US,TV-MA,2019-03-01,1,Running,7.7,1379,Unknown,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Northern Rescue,CBC Gem,CA,TV-14,2019-03-01,1,To Be Determined,7.1,3196,"William Baldwin, Kathleen Robertson, Spencer MacPherson, Taylor Thorne, Amalia Williamson, Michelle Nolden, Peter MacNeill, Natalie Lisinska","After the sudden death of his wife, search and rescue commander John West relocates with his three kids to his rural hometown of Turtle Island Bay.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21 Thunder,CBC,CA,TV-MA,2017-07-31,1,Ended,6.2,917,"Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tales of the City,Netflix,US,TV-MA,2019-06-07,1,Ended,7.4,5886,"Laura Linney, Ellen Page, Olympia Dukakis, Paul Gross, Murray Bartlett, Barbara Garrick, Charlie Barnett, Garcia, May Hong, Jen Richards, Victor Garber, Ashley Park, Christopher Larkin, Zosia Mamet, Molly Ringwald, Daniela Vega","Returning to San Francisco after a long absence, Mary Ann Singleton reunites with the community of characters at 28 Barbary Lane.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Somewhere Between,ABC,US,TV-14,2017-07-24,1,Ended,6.2,4227,"Paula Patton, Devon Sawa, JR Bourne, Aria Birch, Catherine Barroll, Samantha Ferris, Imogen Tear, Daniel Bacon, Carmel Amit, Noel Johansen, Rebecca Staab","A local news producer is given one chance to relive a deadly week and stop a serial killer. If she fails, she'll lose her daughter forever.",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Exhibit A,Netflix,US,TV-MA,2019-06-28,1,To Be Determined,6.2,737,Unknown,This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Family Business,Netflix,US,TV-MA,2019-06-28,1,To Be Determined,7.4,1663,"Jonathan Cohen, Gérard Darmon, Julia Piaton, Liliane Rovère, Olivier Rosemberg, Ali Marhyar, Lina El Arabi, Louise Coldefy, Enrico Macias, Valérie Damidot","After learning France is about to legalize pot, a down-on-his-luck entrepreneur and his family race to turn their butcher shop into a marijuana café.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Life Sentence,The CW,US,TV-14,2018-03-07,1,Ended,6.6,3339,Lucy Hale,"Cured of what she thought was terminal cancer, Stella Abbott faces a slew of experiences – good and bad – resulting from years of ""living for today.""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Neon Genesis Evangelion,TV Tokyo,AJ,TV-14,1995-10-04,1,Ended,8.5,48100,"Megumi Ogata, Kotono Mitsuishi, Yuriko Yamaguchi, Megumi Hayashibara, Yuko Miyamura, Fumihiko Tachiki, Akira Ishida, Motomu Kiyokawa, Hiro Yuki, Miki Nagasawa, Takehito Koyasu, Tomokazu Seki, Tetsuya Iwanaga, Junko Iwao, Mugihito","Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
